Name,Number of Emergency Phones,Latitude,Longitude
11th Street Garage,40,38.0325084,-78.49708369
Wertland St & 12 1/2 St NW,2,38.03455159,-78.49725943
1400 University,1,38.03412159,-78.4999725
14th St NW and John St,3,38.03744833,-78.49798505
14th St NW and Sadler St,4,38.03625974,-78.49854859
15th St NW and Sadler St,3,38.03644643,-78.49936987
15th St NW and Virginia Ave,3,38.03825953,-78.49842494
15th Street and Gordon Ave,2,38.03981913,-78.49767653
21 University Circle,1,38.04415977,-78.50328657
500 Monroe Ln,1,38.02954206,-78.50350673
560 Ray C Hunt,2,38.02561691,-78.52442513
Aquatic & Fitness Center,3,38.03309879,-78.51340209
Aurbach,2,38.02417417,-78.52847719
Balz-Dobie,3,38.03429279,-78.5173214
Battle Bldg,2,38.03302529,-78.49733549
Bryan Hall,2,38.03348944,-78.50600659
Campbell Hall,1,38.03858378,-78.50413846
Carr's Hill Field,2,38.03834038,-78.50413002
Carruthers Hall,1,38.04999725,-78.50131197
Central Grounds Garage,7,38.03651998,-78.50725676
Chemistry Bldg,3,38.03362579,-78.5117207
Claude Moore HS Library,1,38.0325618,-78.50106882
Clemons Library,1,38.03652838,-78.50610073
Cobb Hall,1,38.03273229,-78.50294094
Cocke Hall,1,38.03372145,-78.50531806
Copeley Apts,9,38.0490468,-78.50948354
Courtenay House,5,38.0309134,-78.51628023
Culbreth Rd Garage,13,38.04038187,-78.50426245
Darden,24,38.05254691,-78.51391454
Drama Ed,3,38.03981588,-78.50430894
Dunglison House,3,38.03145915,-78.51568746
Dynamics Bldg,1,38.04225847,-78.50941483
East Lawn,1,38.00499531,-78.69928207
East Range,1,38.03476679,-78.50259596
Emmet Ivy Garage,33,38.04199642,-78.50767728
Facilities Management,2,38.03618703,-78.5156938
Fayerweather Hall,1,38.03808428,-78.50308872
Fitzhugh House,3,38.032383,-78.515116
Fontana Food Ctr,2,38.04792895,-78.52246775
Garrett Hall,1,38.03428774,-78.50545723
Gibbons House,1,38.03336639,-78.51468973
Gilmer Hall,3,38.03449579,-78.5130866
Gooch-Dillard,10,38.02935581,-78.51813014
Goodwin Bridge,2,38.04334912,-78.50524095
Halsey Hall,1,38.03318819,-78.50707612
Hancock House,1,38.03620364,-78.51155514
Harrison Inst,1,38.03624729,-78.50577876
Hospital,1,38.0326611,-78.49888813
Hotel A,1,38.03607974,-78.50459693
Hotel C,1,38.03544784,-78.5050365
JAG School,1,38.05420955,-78.5076506
Jefferson Scholars,1,38.02772046,-78.51526707
John Paul Jones Arena,2,38.04611331,-78.50705871
John Paul Jones Arena Garage,10,38.04735532,-78.50744495
Johnson House,5,38.03047129,-78.519481
Kellogg House,2,38.03348269,-78.51775488
Kent House,1,38.03518054,-78.51081733
Lacy Hall,2,38.03584039,-78.51777476
Lambeth Field,11,38.04233771,-78.5046386
Law School,2,38.0527491,-78.50986081
Lee St Garage,6,38.0319172,-78.49752382
Lefevre House,1,38.03568149,-78.51212671
Lile-Maupin House,1,38.03475249,-78.51577571
Malcom Cole Child Care Center,1,38.0312128,-78.49261751
Malone House,1,38.0302545,-78.51968611
McCue Center,1,38.04521646,-78.50751993
McKim Hall,1,38.032952,-78.50192613
Memorial Gym,1,38.03770488,-78.50717103
Minor Hall,1,38.03413969,-78.50649113
MR4,13,38.0308944,-78.49991163
New Cabell Hall,2,38.0327693,-78.50507513
Newcomb Hall,7,38.03616019,-78.50662213
North Grounds Recreation Center,4,38.05114874,-78.51321083
Nursing,1,38.0315574,-78.50217193
O-Hill,2,38.03506889,-78.51507393
Peters House,1,38.03549509,-78.50714603
Pinn Hall,24,38.032219,-78.50064393
Rice Hall,8,38.0318554,-78.51085663
Rouss Hall,2,38.0332165,-78.50373323
Ruffin Hall,6,38.03953938,-78.50314473
Runk,1,38.02917621,-78.51885223
Scott Stadium Garage,7,38.03125529,-78.51365572
Shannon House,1,38.03374739,-78.51505702
Shea House,1,38.03185759,-78.50263092
Slaughter Rec,1,38.03518889,-78.51753292
Smith House,1,38.03412979,-78.50776892
South Garage,23,38.0302701,-78.50205062
South Lawn,4,38.0310242,-78.50476642
Special Collections Library,1,38.03511059,-78.50552682
Student Activities Building,1,38.0298434,-78.51550342
Student Health,1,38.0318878,-78.50353022
TCH,1,38.05162684,-78.54967422
Tennis Court,1,38.03884988,-78.50650392
Thornton Hall,1,38.03347539,-78.50962842
Watson-Webb,1,38.03497379,-78.51662022
Weedon House,1,38.0298844,-78.51964812
West Complex,2,38.03375939,-78.50115742
West Lawn,2,38.00600132,-78.70283607
Wilsdorf Hall,2,38.03358575,-78.511249
Woody House,2,38.03313314,-78.51557399
